eventType,homeTeam,visitingTeamOrDescription,startTime,endTime,googleEventId
LeagueControlledGame,VCB 18U AA Pirates,VCB 18U AA Diamondbacks,06/15/2024 12:00:00,06/15/2024 14:30:00,92oilfppi6fhiv6f2g9m2q3bjo
LeagueControlledGame,VCB 18U AA Marlins,VCB 18U AA Yankees,06/15/2024 15:00:00,06/15/2024 17:30:00,b9ujlmuhgvsgpo29gbpplsmfeo
Practice,VCB Mounties 15U AA - Red,Practice,06/18/2024 17:00:00,06/18/2024 18:45:00,eud8tevagsae7p075c0ra4fo5k
Practice,VCB Expos 15U AA - Blue,Practice,06/18/2024 18:45:00,06/18/2024 20:45:00,u1085n78ss1t39cqteh2ffc550
Practice,VCB Expos 15U AA - Blue,Practice,06/20/2024 16:45:00,06/20/2024 18:45:00,hkc4h3asdk3m22enuhkdmh2hfk
Practice,VCB Mounties 18U AAA,Practice,06/20/2024 18:45:00,06/20/2024 20:45:00,c64ubf1hu43thfcco089jb308c
Practice,VCB Mounties 15U AA - Red,Practice,06/25/2024 17:00:00,06/25/2024 18:45:00,nntqbhu5ctgcgpokud3gn7rfgo
Practice,VCB Expos 15U AA - Blue,Practice,06/25/2024 18:45:00,06/25/2024 20:45:00,puijf35e8rpv21uct1m7g745bg
Practice,VCB Expos 15U AA - Blue,Practice,06/27/2024 16:45:00,06/27/2024 18:45:00,ihccarht1mohvnfvjhoka1rs8g
Practice,VCB Mounties 18U AAA,Practice,06/27/2024 18:45:00,06/27/2024 20:45:00,a734uauoc1540iimqm7aoabmqs
Practice,VCB Mounties 15U AA - Red,Practice,07/02/2024 17:00:00,07/02/2024 18:45:00,nrbis10ekjc4pujeq25k9nte30
Practice,VCB Expos 15U AA - Blue,Practice,07/02/2024 18:45:00,07/02/2024 20:45:00,rp92cl5t3l9jnpgjjem8uub9n0
Practice,VCB Expos 15U AA - Blue,Practice,07/04/2024 16:45:00,07/04/2024 18:45:00,dp9dnj8jr3aq8nv6fm1q7pcbk0
Practice,VCB Mounties 18U AAA,Practice,07/04/2024 18:45:00,07/04/2024 20:45:00,3kfls55sv2qbapc6d0s3np8mb0
Practice,VCB Mounties 15U AA - Red,Practice,07/09/2024 17:00:00,07/09/2024 18:45:00,ec62v94s7gg9b665q8iumdcthg
Practice,VCB Expos 15U AA - Blue,Practice,07/09/2024 18:45:00,07/09/2024 20:45:00,cd273d2o6cl7jf15gvlueof0fc
Practice,VCB Expos 15U AA - Blue,Practice,07/11/2024 16:45:00,07/11/2024 18:45:00,nhcvm8tafss5t4bnhrtsu3iios
Practice,VCB Mounties 18U AAA,Practice,07/11/2024 18:45:00,07/11/2024 20:45:00,sbcjkb8qt06ts9n8obpl01vaqc
Practice,VCB Mounties 15U AA - Red,Practice,07/16/2024 17:00:00,07/16/2024 18:45:00,nvfcmu1thjuigqlp91mnbtmjko
Practice,VCB Expos 15U AA - Blue,Practice,07/16/2024 18:45:00,07/16/2024 20:45:00,31lbfnds9los83c1sqobc7g2vo
Practice,VCB Expos 15U AA - Blue,Practice,07/18/2024 16:45:00,07/18/2024 18:45:00,q260em54l4j9iphkjj73kkaif4
Practice,VCB Mounties 18U AAA,Practice,07/18/2024 18:45:00,07/18/2024 20:45:00,1tmhfemccnarelommtcamj3ji8
Practice,VCB Mounties 15U AA - Red,Practice,07/23/2024 17:00:00,07/23/2024 18:45:00,jh9h8jodhcqkf6scms4aintoq0
Practice,VCB Expos 15U AA - Blue,Practice,07/23/2024 18:45:00,07/23/2024 20:45:00,50tis1649h9r5eb6vprs434bco
Practice,VCB Expos 15U AA - Blue,Practice,07/25/2024 16:45:00,07/25/2024 18:45:00,kjmb06i9a5evls1ckqgjkd751g
Practice,VCB Mounties 18U AAA,Practice,07/25/2024 18:45:00,07/25/2024 20:45:00,mutcdtnajc2grler365r384ank
Practice,VCB Mounties 15U AA - Red,Practice,07/30/2024 17:00:00,07/30/2024 18:45:00,d7qenc3hj01vra1i41pjaqr0mc
Practice,VCB Expos 15U AA - Blue,Practice,07/30/2024 18:45:00,07/30/2024 20:45:00,mj3soqfjfrmjeqc9i4n1p2b1uk
