eventType,homeTeam,visitingTeamOrDescription,startTime,endTime,googleEventId
LeagueControlledGame,VCB 18U AA Rockies,VCB 18U AA Reds,05/17/2024 18:00:00,05/17/2024 20:30:00,
Practice,VCB Mounties 18U AAA,Practice,05/21/2024 18:45:00,05/21/2024 20:45:00,
LeagueControlledGame,VCB 18U AA Mariners,VCB 18U AA Diamondbacks,05/22/2024 18:00:00,05/22/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Pirates,VCB 18U AA Giants,05/23/2024 18:00:00,05/23/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Rockies,VCB 18U AA Yankees,05/24/2024 18:00:00,05/24/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Rangers,VCB 18U AA Marlins,05/25/2024 12:00:00,05/25/2024 14:30:00,
LeagueControlledGame,VCB 18U AA Dodgers,VCB 18U AA Diamondbacks,05/25/2024 15:00:00,05/25/2024 17:30:00,
LeagueControlledGame,VCB 18U AA Yankees,VCB 18U AA Reds,05/25/2024 18:00:00,05/25/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Pirates,VCB 18U AA Rockies,05/26/2024 12:00:00,05/26/2024 14:30:00,
LeagueControlledGame,VCB 18U AA Giants,VCB 18U AA Athletics,05/26/2024 15:00:00,05/26/2024 17:30:00,
Practice,VCB,LMBA game,05/26/2024 18:00:00,05/26/2024 21:00:00,
LeagueControlledGame,VCB 18U AA Reds,VCB 18U AA Mariners,05/27/2024 18:00:00,05/27/2024 20:30:00,
Practice,VCB Mounties 18U AAA,Practice,05/28/2024 18:45:00,05/28/2024 20:45:00,
LeagueControlledGame,VCB 18U AA Giants,VCB 18U AA Marlins,05/29/2024 18:00:00,05/29/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Rockies,VCB 18U AA Rangers,05/30/2024 18:00:00,05/30/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Reds,VCB 18U AA Athletics,05/31/2024 18:00:00,05/31/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Diamondbacks,VCB 18U AA Giants,06/01/2024 12:00:00,06/01/2024 14:30:00,
LeagueControlledGame,VCB 18U AA Mariners,VCB 18U AA Dodgers,06/01/2024 15:00:00,06/01/2024 17:30:00,
Practice,VCB,LMBA game,06/01/2024 18:00:00,06/01/2024 21:00:00,
LeagueControlledGame,VCB 18U AA Rangers,VCB 18U AA Yankees,06/02/2024 12:00:00,06/02/2024 14:30:00,
LeagueControlledGame,VCB 18U AA Reds,VCB 18U AA Marlins,06/02/2024 15:00:00,06/02/2024 17:30:00,
Practice,VCB,LMBA game,06/02/2024 18:00:00,06/02/2024 21:00:00,
LeagueControlledGame,VCB 18U AA Rockies,VCB 18U AA Diamondbacks,06/03/2024 18:00:00,06/03/2024 20:30:00,
Practice,VCB Mounties 18U AAA,Practice,06/04/2024 18:45:00,06/04/2024 20:45:00,
LeagueControlledGame,VCB 18U AA Yankees,VCB 18U AA Dodgers,06/05/2024 18:00:00,06/05/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Pirates,VCB 18U AA Marlins,06/06/2024 18:00:00,06/06/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Athletics,VCB 18U AA Rangers,06/07/2024 18:00:00,06/07/2024 20:30:00,
TeamControlledGame,VCB Mounties 18U AAA,North Shore,06/08/2024 12:00:00,06/08/2024 14:00:00,
TeamControlledGame,VCB Mounties 18U AAA,North Shore,06/08/2024 14:30:00,06/08/2024 16:30:00,
LeagueControlledGame,VCB 18U AA Dodgers,VCB 18U AA Rockies,06/08/2024 18:00:00,06/08/2024 20:30:00,
TeamControlledGame,VCB Mounties 18U AAA,North Delta Pirates,06/09/2024 12:00:00,06/09/2024 14:00:00,
TeamControlledGame,VCB Mounties 18U AAA,North Delta Pirates,06/09/2024 14:30:00,06/09/2024 16:30:00,
LeagueControlledGame,VCB 18U AA Rangers,VCB 18U AA Diamondbacks,06/10/2024 18:00:00,06/10/2024 20:30:00,
Practice,VCB Mounties 18U AAA,Practice,06/11/2024 18:45:00,06/11/2024 20:45:00,
LeagueControlledGame,VCB 18U AA Athletics,VCB 18U AA Marlins,06/12/2024 18:00:00,06/12/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Rangers,VCB 18U AA Reds,06/13/2024 18:00:00,06/13/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Mariners,VCB 18U AA Giants,06/14/2024 18:00:00,06/14/2024 20:30:00,
TeamControlledGame,VCB Mounties 18U AAA,Ridge Meadows,06/15/2024 12:00:00,06/15/2024 14:00:00,
LeagueControlledGame,VCB 18U AA Dodgers,VCB 18U AA Reds,06/15/2024 15:00:00,06/15/2024 17:30:00,
LeagueControlledGame,VCB 18U AA Giants,VCB 18U AA Rangers,06/15/2024 18:00:00,06/15/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Yankees,VCB 18U AA Athletics,06/16/2024 12:00:00,06/16/2024 14:30:00,
LeagueControlledGame,VCB 18U AA Diamondbacks,VCB 18U AA Reds,06/16/2024 15:00:00,06/16/2024 17:30:00,
Practice,VCB,LMBA game,06/16/2024 18:00:00,06/16/2024 21:00:00,
LeagueControlledGame,VCB 18U AA Mariners,VCB 18U AA Yankees,06/17/2024 18:00:00,06/17/2024 20:30:00,
Practice,VCB Mounties 18U AAA,Practice,06/18/2024 18:45:00,06/18/2024 20:45:00,
LeagueControlledGame,VCB 18U AA Rangers,VCB 18U AA Dodgers,06/19/2024 18:00:00,06/19/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Reds,VCB 18U AA Pirates,06/20/2024 18:00:00,06/20/2024 20:30:00,
Practice,1st vs. 4th,,06/22/2024 12:00:00,06/22/2024 15:00:00,
Practice,2nd vs. 3rd,,06/22/2024 15:00:00,06/22/2024 18:00:00,
Practice,VCB,LMBA game,06/22/2024 18:00:00,06/22/2024 21:00:00,
Practice,3rd vs. 2nd,,06/23/2024 12:00:00,06/23/2024 15:00:00,
Practice,4th vs. 1st,,06/23/2024 15:00:00,06/23/2024 18:00:00,
Practice,VCB,LMBA game,06/23/2024 18:00:00,06/23/2024 21:00:00,
Practice,1st vs. 4th,,06/24/2024 18:00:00,06/24/2024 21:00:00,
Practice,VCB Mounties 18U AAA,Practice,06/25/2024 18:45:00,06/25/2024 20:45:00,
Practice,W2 vs W1,,06/28/2024 18:00:00,06/28/2024 21:00:00,
Practice,W1 vs W2,,06/30/2024 12:00:00,06/30/2024 15:00:00,
Practice,VCB Mounties 18U AAA,Practice,07/02/2024 18:45:00,07/02/2024 20:45:00,
Practice,VCB Mounties 18U AAA,Practice,07/09/2024 18:45:00,07/09/2024 20:45:00,
TeamControlledGame,VCB Mounties 18U AAA,West Kelowna,07/13/2024 15:00:00,07/13/2024 17:00:00,
TeamControlledGame,VCB Mounties 18U AAA,West Kelowna,07/13/2024 17:30:00,07/13/2024 19:30:00,
Practice,VCB Mounties 18U AAA,Practice,07/16/2024 18:45:00,07/16/2024 20:45:00,
Practice,VCB Mounties 18U AAA,Practice,07/23/2024 18:45:00,07/23/2024 20:45:00,
