eventType,location,startTime,homeTeam,visitingTeam,endTime,description,googleEventId
Practice,Chaldecott Park N diamond,05/07/2025 18:00:00,VCB 15U Expos,,05/07/2025 19:30:11,VCB 15U Expos Baseball Practice,admee36tc0vd9kip32pnv9aaoo
Game,Chaldecott Park N diamond,05/10/2025 12:00:00,VCB 15U Red Sox,VCB 16U Red Sox-Girls,05/10/2025 14:00:00,,6k0bnepnsmpbmt9qp31b7sj8t0
Game,Chaldecott Park N diamond,05/10/2025 15:00:00,VCB 15U Yankees,VCB 15U Expos,05/10/2025 17:00:00,,9di0b3rau664kv1orb73adv26s
Game,Chaldecott Park N diamond,05/10/2025 18:00:00,VCB 15U Mariners,VCB 15U A's,05/10/2025 20:00:00,,r3dbm3u4sokvfhneh6fgmtg3js
Game,Chaldecott Park N diamond,05/11/2025 12:00:00,VCB 15U Blue Jays,VCB 15U Expos,05/11/2025 14:00:00,,br2asss8adui7mp5aijosjfhlc
Game,Chaldecott Park N diamond,05/11/2025 15:00:00,VCB 16U White Sox,VCB 15U Dodgers,05/11/2025 17:00:00,,5h7cueg9t0iumlkie5uoratobg
Practice,Chaldecott Park N diamond,05/14/2025 18:00:00,VCB 15U Dodgers,,05/14/2025 19:30:00,Practice,mudelpmqe5baiohfd6ep6295us
Practice,Chaldecott Park N diamond,05/14/2025 18:00:00,VCB 15U Expos,,05/14/2025 19:30:11,VCB 15U Expos Baseball Practice,d3jbb5vhs1pn9n970oji92dr8c
Game,Chaldecott Park N diamond,05/18/2025 10:00:00,VCB 13U AAA,North Shore,05/18/2025 12:00:00,,fc8fb6m6abjpbe6f0o7b7hga8c
Game,Chaldecott Park N diamond,05/18/2025 12:30:00,VCB 13U AAA,North Shore,05/18/2025 14:30:00,,05mdbsh10i7idkqa6d1fdlho68
Practice,Chaldecott Park N diamond,05/21/2025 18:00:00,VCB 15U Dodgers,,05/21/2025 19:30:00,Practice,pq42nhm2e1cohm2iqvkpijam0c
Practice,Chaldecott Park N diamond,05/21/2025 18:00:00,VCB 15U Expos,,05/21/2025 19:30:11,VCB 15U Expos Baseball Practice,1cqjc19ms8lgccoui8r8288ga4
Game,Chaldecott Park N diamond,05/24/2025 12:00:00,VCB 15U Rockies,VCB 15U A's,05/24/2025 14:00:00,,gl41eejqd5bi102u0orfdkd0v0
Game,Chaldecott Park N diamond,05/24/2025 15:00:00,VCB 13U AAA,Cowichan Valley,05/24/2025 17:00:00,,m9f6ki2n13meoao6fhvl9blmi4
Game,Chaldecott Park N diamond,05/24/2025 17:30:00,VCB 13U AAA,Cowichan Valley,05/24/2025 19:30:00,,1e2nr3pkjgg2nrnp3eftc101a0
Game,Chaldecott Park N diamond,05/25/2025 10:00:00,VCB 13U AAA,SOMBA,05/25/2025 12:00:00,,k0ls1bl08s3sglktno3htp24kc
