eventType,homeTeam,visitingTeamOrDescription,startTime,endTime,googleEventId
Game,VCB 13U A Dodgers,VCB 13U A Red Sox,05/26/2024 15:00:00,05/26/2024 17:30:00,17pdceo1cucflgd10jpdvkaarc
Practice,VCB Mounties 13U AAA,Practice,05/28/2024 17:00:00,05/28/2024 18:45:00,d453f98gsotf3q5iv1s3099bn4
Game,VCB 13U A Diamondbacks,VCB 13U A Giants,05/29/2024 18:00:00,05/29/2024 20:00:00,ffiq3i5qhkp7gdc3lr1brhm6os
Practice,VCB Mounties 13U AA,Practice,05/30/2024 17:00:00,05/30/2024 18:45:00,n5v3ii7s9flo5uofkeiftl62rs
Game,VCB Mounties 13U AAA,Nanaimo,06/01/2024 12:00:00,06/01/2024 15:00:00,upju0fqbrs9ff7l6ncidafkse0
Practice,VCB Mounties 13U AAA,Nanaimo vs NS,06/01/2024 15:00:00,06/01/2024 17:30:00,qhjh5o7vq85gqiogjapt2hao50
Practice,VCB 13U A Diamondbacks,13U A Diamondbacks practice,06/03/2024 18:45:00,06/03/2024 20:45:00,7k60og0ncv106tfmb81kah4cqo
Practice,VCB Mounties 13U AAA,Practice,06/04/2024 17:00:00,06/04/2024 18:45:00,d15d3dect2sih7snepbtg4pnak
Practice,VCB Mounties 13U AA,Practice,06/06/2024 17:00:00,06/06/2024 18:45:00,0jkg17hv0fsi0gd2ridgs82rdk
Practice,VCB 13U A Diamondbacks,13U A Diamondbacks practice,06/10/2024 18:45:00,06/10/2024 20:45:00,tjl9rvv2cmq4v3naaqaqeojct8
Practice,VCB Mounties 13U AAA,Practice,06/11/2024 17:00:00,06/11/2024 18:45:00,3d2mskdbl88onc8bji2mb6a0d8
Practice,VCB Mounties 13U AA,Practice,06/13/2024 17:00:00,06/13/2024 18:45:00,jr155e0s90mu328ek1mel719bo
Practice,VCB 13U A Diamondbacks,13U A Diamondbacks practice,06/17/2024 18:45:00,06/17/2024 20:45:00,bvrakrb9d5n5nkp6mhocistqtc
Practice,VCB Mounties 13U AAA,Practice,06/18/2024 17:00:00,06/18/2024 18:45:00,2itekkgnndd64cts3fdoc4l638
Practice,VCB Mounties 13U AA,Practice,06/20/2024 17:00:00,06/20/2024 18:45:00,nidmqt0ujiam391vfo597ll8ag
Practice,VCB Mounties 13U AAA,Practice,06/25/2024 17:00:00,06/25/2024 18:45:00,k37l052l2bmqfsisqi2pbbj6is
Practice,VCB Mounties 13U AA,Practice,06/27/2024 17:00:00,06/27/2024 18:45:00,rm9e0v0q77ol0fln7od1bi3m7g
Practice,VCB Mounties 13U AAA,Practice,07/02/2024 17:00:00,07/02/2024 18:45:00,tlgji1ku4q2o580n42h49cif0s
Practice,VCB Mounties 13U AA,Practice,07/04/2024 17:00:00,07/04/2024 18:45:00,uut99ldpebc69qp8aii57icf04
Practice,VCB Mounties 13U AAA,Practice,07/09/2024 17:00:00,07/09/2024 18:45:00,4pvmtsdf0b6ojaobheev1th5m4
Practice,VCB Mounties 13U AA,Practice,07/11/2024 17:00:00,07/11/2024 18:45:00,9nm8ahsvjnifstsp623fapp5qc
Practice,VCB Mounties 13U AAA,Practice,07/16/2024 17:00:00,07/16/2024 18:45:00,ikmqjgsrtfiboe76ggesv2q95g
Practice,VCB Mounties 13U AA,Practice,07/18/2024 17:00:00,07/18/2024 18:45:00,5p4fgqdsqj5434gk5m3o73mpg0
Practice,VCB Mounties 13U AAA,Practice,07/23/2024 17:00:00,07/23/2024 18:45:00,bea9m48kalbhcnpve9e7fsd8f8
